stateid,wave1 − weekid,wave2 − weekid,wave1 − monthid,wave2 − monthid
AP,42,122,4,14
AR,36,124,4,14
BR,42,114,4,14
CH,42,118,4,14
CT,38,113,4,14
DN,40,114,4,14
GJ,12,116,3,14
HP,37,120,4,14
HR,38,118,4,14
JH,41,116,4,14
JK,36,118,4,14
KA,43,118,4,14
KL,42,120,4,14
LA,25,113,3,14
MH,42,114,4,14
ML,35,124,4,14
MP,12,116,2,14
MZ,40,124,4,14
NL,40,120,4,14
OR,42,124,4,14
PB,42,120,4,14
PY,42,122,4,14
RJ,38,118,4,14
TN,38,120,4,14
TR,39,122,3,14
UP,42,114,4,14
UT,42,119,3,14
WB,40,122,4,14
