districtid,monthid,dose 1,dose 2
AR_Kurung Kumey,15,2270,350
AR_Kurung Kumey,16,1540,548
AR_Lepa Rada,10,602,0
AR_Lepa Rada,11,1070,550
AR_Lepa Rada,12,1875,638
AR_Lepa Rada,13,1326,1325
AR_Lepa Rada,14,1613,8
AR_Lepa Rada,15,5398,1183
AR_Lepa Rada,16,1072,1255
AR_Lohit,10,534,0
AR_Lohit,11,1354,381
AR_Lohit,12,2120,634
AR_Lohit,13,3111,968
AR_Lohit,14,3895,55
AR_Lohit,15,12351,1767
AR_Lohit,16,4521,2905
AR_Longding,10,396,61
AR_Longding,11,1161,187
AR_Longding,12,849,686
AR_Longding,13,1758,614
AR_Longding,14,3758,140
AR_Longding,15,7626,370
AR_Longding,16,2421,1207
AR_Lower Dibang Valley,10,225,0
AR_Lower Dibang Valley,11,1252,278
AR_Lower Dibang Valley,12,3590,992
AR_Lower Dibang Valley,13,3807,1267
AR_Lower Dibang Valley,14,3541,45
AR_Lower Dibang Valley,15,13632,2974
AR_Lower Dibang Valley,16,3679,2546
AR_Lower Siang,10,179,0
AR_Lower Siang,11,550,288
AR_Lower Siang,12,1033,361
AR_Lower Siang,13,2711,438
AR_Lower Siang,14,1882,18
AR_Lower Siang,15,5832,1189
AR_Lower Siang,16,3505,2273
AR_Lower Subansiri,10,554,79
AR_Lower Subansiri,11,1151,616
AR_Lower Subansiri,12,3553,853
AR_Lower Subansiri,13,2947,2505
AR_Lower Subansiri,14,5136,12
AR_Lower Subansiri,15,8186,1297
AR_Lower Subansiri,16,3285,2789
AR_Namsai,10,742,0
AR_Namsai,11,2253,849
AR_Namsai,12,3779,1201
AR_Namsai,13,7938,2457
AR_Namsai,14,7459,33
AR_Namsai,15,29601,2311
AR_Namsai,16,6074,5756
AR_Pakke Kessang,10,248,0
AR_Pakke Kessang,11,457,163
AR_Pakke Kessang,12,1089,363
AR_Pakke Kessang,13,1783,817
AR_Pakke Kessang,14,1086,50
AR_Pakke Kessang,15,1590,527
AR_Pakke Kessang,16,1415,1064
AR_Papum Pare,10,450,0
AR_Papum Pare,11,2808,538
AR_Papum Pare,12,3572,1625
AR_Papum Pare,13,4354,2342
AR_Papum Pare,14,6111,30
AR_Papum Pare,15,7427,1765
AR_Papum Pare,16,3523,3426
AR_Shi Yomi,10,225,0
AR_Shi Yomi,11,283,250
AR_Shi Yomi,12,1046,267
AR_Shi Yomi,13,736,909
AR_Shi Yomi,14,699,9
AR_Shi Yomi,15,2935,178
AR_Shi Yomi,16,795,685
AR_Siang,10,263,0
AR_Siang,11,383,192
AR_Siang,12,2613,245
AR_Siang,13,1414,1027
AR_Siang,14,1100,113
AR_Siang,15,6394,1535
AR_Siang,16,1710,1161
AR_Tawang,10,791,0
AR_Tawang,11,2239,831
AR_Tawang,12,3309,1206
AR_Tawang,13,3318,2195
AR_Tawang,14,6017,31
AR_Tawang,15,9483,1910
AR_Tawang,16,2518,2993
AR_Tirap,10,634,0
AR_Tirap,11,1783,531
AR_Tirap,12,1255,1133
AR_Tirap,13,1993,872
AR_Tirap,14,5539,68
AR_Tirap,15,14592,852
AR_Tirap,16,3219,2177
AR_Upper Dibang Valley,10,158,0
AR_Upper Dibang Valley,11,567,162
AR_Upper Dibang Valley,12,565,338
AR_Upper Dibang Valley,13,321,376
AR_Upper Dibang Valley,14,425,11
AR_Upper Dibang Valley,15,1440,138
AR_Upper Dibang Valley,16,439,209
AR_Upper Siang,10,529,94
AR_Upper Siang,11,452,381
AR_Upper Siang,12,3282,417
AR_Upper Siang,13,2735,1772
AR_Upper Siang,14,2591,13
AR_Upper Siang,15,5359,1642
AR_Upper Siang,16,2527,2039
AR_Upper Subansiri,10,240,0
AR_Upper Subansiri,11,528,142
AR_Upper Subansiri,12,2797,524
AR_Upper Subansiri,13,5068,2408
AR_Upper Subansiri,14,5495,58
AR_Upper Subansiri,15,4112,867
AR_Upper Subansiri,16,4859,3268
AR_West Kameng,10,679,0
AR_West Kameng,11,5326,896
AR_West Kameng,12,5885,2718
AR_West Kameng,13,3988,3065
AR_West Kameng,14,7384,96
AR_West Kameng,15,18694,3312
AR_West Kameng,16,7923,3596
AR_West Siang,10,1006,72
AR_West Siang,11,1940,906
AR_West Siang,12,5242,1081
AR_West Siang,13,4122,2047
AR_West Siang,14,4031,53
AR_West Siang,15,13484,4493
AR_West Siang,16,2822,3664
AS_Baksa,10,2054,48
AS_Baksa,11,5065,1168
AS_Baksa,12,20242,3711
AS_Baksa,13,24531,7461
AS_Baksa,14,18654,3208
AS_Baksa,15,59427,10532
AS_Baksa,16,133849,17190
AS_Barpeta,10,4037,44
AS_Barpeta,11,12960,2826
AS_Barpeta,12,52237,8271
AS_Barpeta,13,64987,24102
AS_Barpeta,14,34653,52068
AS_Barpeta,15,121436,31527
AS_Barpeta,16,213243,14433
AS_Biswanath,10,1981,30
AS_Biswanath,11,6717,1497
AS_Biswanath,12,12953,3240
AS_Biswanath,13,32194,10012
AS_Biswanath,14,30129,3770
AS_Biswanath,15,105762,8003
AS_Biswanath,16,152323,24374
AS_Bongaigaon,10,2288,96
AS_Bongaigaon,11,13763,1696
AS_Bongaigaon,12,19851,6707
AS_Bongaigaon,13,26965,13969
AS_Bongaigaon,14,25624,2579
AS_Bongaigaon,15,70023,10036
AS_Bongaigaon,16,111083,22024
AS_Cachar,10,7119,81
AS_Cachar,11,15923,4219
AS_Cachar,12,27260,10052
AS_Cachar,13,53224,15976
AS_Cachar,14,104990,8274
AS_Cachar,15,162287,22172
AS_Cachar,16,118241,40340
AS_Charaideo,10,1434,56
AS_Charaideo,11,2722,1184
AS_Charaideo,12,12101,2098
AS_Charaideo,13,18754,5883
AS_Charaideo,14,17944,1038
AS_Charaideo,15,43420,7369
AS_Charaideo,16,103490,14056
AS_Chirang,10,1193,24
AS_Chirang,11,7628,1149
AS_Chirang,12,5688,4766
AS_Chirang,13,18078,5804
AS_Chirang,14,14117,3055
AS_Chirang,15,42897,5816
AS_Chirang,16,61711,12137
AS_Darrang,10,3198,51
AS_Darrang,11,14264,2181
AS_Darrang,12,16782,5867
AS_Darrang,13,35101,13178
AS_Darrang,14,32781,3382
AS_Darrang,15,72128,8797
AS_Darrang,16,106474,24007
AS_Dhemaji,10,3095,62
AS_Dhemaji,11,7228,1747
AS_Dhemaji,12,21783,3812
AS_Dhemaji,13,33670,11748
AS_Dhemaji,14,26258,4025
AS_Dhemaji,15,89418,7434
AS_Dhemaji,16,97774,27627
AS_Dhubri,10,3167,103
AS_Dhubri,11,16506,2669
AS_Dhubri,12,33845,7166
AS_Dhubri,13,30011,18516
AS_Dhubri,14,21365,2160
AS_Dhubri,15,100033,15477
AS_Dhubri,16,123710,27685
AS_Dibrugarh,10,8331,91
AS_Dibrugarh,11,16083,6741
AS_Dibrugarh,12,43312,11433
AS_Dibrugarh,13,72686,17110
AS_Dibrugarh,14,90161,6247
AS_Dibrugarh,15,145220,37228
AS_Dibrugarh,16,180674,59666
AS_Dima Hasao,10,1056,75
AS_Dima Hasao,11,5280,744
AS_Dima Hasao,12,6284,2623
AS_Dima Hasao,13,11439,4268
AS_Dima Hasao,14,7568,2739
AS_Dima Hasao,15,36667,4432
AS_Dima Hasao,16,13632,6744
AS_Goalpara,10,4879,105
AS_Goalpara,11,9473,2922
AS_Goalpara,12,19879,4839
AS_Goalpara,13,29111,11577
AS_Goalpara,14,22407,2812
AS_Goalpara,15,82561,7996
AS_Goalpara,16,125075,23299
AS_Golaghat,10,3905,80
AS_Golaghat,11,11978,2620
AS_Golaghat,12,25704,6537
AS_Golaghat,13,40997,15634
AS_Golaghat,14,32401,2246
AS_Golaghat,15,149831,12219
AS_Golaghat,16,224441,49408
AS_Hailakandi,10,2869,46
AS_Hailakandi,11,6567,1970
AS_Hailakandi,12,15714,3385
AS_Hailakandi,13,24327,9028
AS_Hailakandi,14,27491,3562
AS_Hailakandi,15,69092,8895
AS_Hailakandi,16,89509,17045
AS_Hojai,10,2166,109
AS_Hojai,11,11408,1310
AS_Hojai,12,28759,3658
AS_Hojai,13,27964,14218
AS_Hojai,14,31368,13090
AS_Hojai,15,90062,16577
AS_Hojai,16,115206,19916
AS_Jorhat,10,3982,38
AS_Jorhat,11,14296,2975
AS_Jorhat,12,32468,7072
AS_Jorhat,13,49786,16611
AS_Jorhat,14,35586,5349
AS_Jorhat,15,119537,24545
AS_Jorhat,16,247376,43527
AS_Kamrup,10,5846,75
AS_Kamrup,11,15068,4198
AS_Kamrup,12,54751,7864
AS_Kamrup,13,94343,30781
AS_Kamrup,14,86033,8407
AS_Kamrup,15,89211,20774
AS_Kamrup,16,262708,72133
AS_Kamrup Metropolitan,10,12379,61
AS_Kamrup Metropolitan,11,32634,9304
