districtid,monthid,dose 1,dose 2
CT_Baloda Bazar,13,16509,13861
CT_Baloda Bazar,14,2468,1505
CT_Baloda Bazar,15,100447,27815
CT_Baloda Bazar,16,51259,26832
CT_Balrampur,10,5139,1
CT_Balrampur,11,11189,3326
CT_Balrampur,12,78110,5853
CT_Balrampur,13,42018,9949
CT_Balrampur,14,2754,959
CT_Balrampur,15,42716,10472
CT_Balrampur,16,12850,9398
CT_Bametara,10,6253,122
CT_Bametara,11,7527,5258
CT_Bametara,12,76909,3844
CT_Bametara,13,6876,6791
CT_Bametara,14,945,970
CT_Bametara,15,49183,12432
CT_Bametara,16,30767,15466
CT_Bastar,10,8713,11
CT_Bastar,11,14817,6672
CT_Bastar,12,98153,10759
CT_Bastar,13,34060,17260
CT_Bastar,14,5134,2313
CT_Bastar,15,75945,13913
CT_Bastar,16,32905,19921
CT_Bijapur,10,4531,58
CT_Bijapur,11,12865,2412
CT_Bijapur,12,23754,9016
CT_Bijapur,13,11194,6636
CT_Bijapur,14,1133,937
CT_Bijapur,15,17712,4587
CT_Bijapur,16,8264,4428
CT_Bilaspur,10,16040,183
CT_Bilaspur,11,26658,14314
CT_Bilaspur,12,245141,10437
CT_Bilaspur,13,49807,39301
CT_Bilaspur,14,7717,13514
CT_Bilaspur,15,127039,47714
CT_Bilaspur,16,103748,66955
CT_Dakshin Bastar Dantewada,10,4957,5
CT_Dakshin Bastar Dantewada,11,10504,3124
CT_Dakshin Bastar Dantewada,12,36251,7244
CT_Dakshin Bastar Dantewada,13,17887,13606
CT_Dakshin Bastar Dantewada,14,727,1170
CT_Dakshin Bastar Dantewada,15,28349,3280
CT_Dakshin Bastar Dantewada,16,13025,6791
CT_Dhamtari,10,5824,31
CT_Dhamtari,11,18276,4771
CT_Dhamtari,12,119954,9065
CT_Dhamtari,13,32501,27667
CT_Dhamtari,14,2324,2324
CT_Dhamtari,15,81946,24270
CT_Dhamtari,16,49678,23271
CT_Durg,10,18348,68
CT_Durg,11,35786,14868
CT_Durg,12,274101,24332
CT_Durg,13,33775,61732
CT_Durg,14,11344,6955
CT_Durg,15,124356,59292
CT_Durg,16,114445,91404
CT_Gariaband,10,5548,13
CT_Gariaband,11,6523,4337
CT_Gariaband,12,81292,4397
CT_Gariaband,13,11586,6462
CT_Gariaband,14,910,309
CT_Gariaband,15,36148,11691
CT_Gariaband,16,25269,12041
CT_Gaurela Pendra Marwahi,10,2215,21
CT_Gaurela Pendra Marwahi,11,5039,1312
CT_Gaurela Pendra Marwahi,12,42076,2505
CT_Gaurela Pendra Marwahi,13,17436,4232
CT_Gaurela Pendra Marwahi,14,2108,716
CT_Gaurela Pendra Marwahi,15,23641,5247
CT_Gaurela Pendra Marwahi,16,18153,8790
CT_Janjgir Champa,10,10215,7
CT_Janjgir Champa,11,17922,9028
CT_Janjgir Champa,12,169041,8417
CT_Janjgir Champa,13,74423,31454
CT_Janjgir Champa,14,5047,5438
CT_Janjgir Champa,15,90290,26750
CT_Janjgir Champa,16,82807,50625
CT_Jashpur,10,10967,19
CT_Jashpur,11,13445,7526
CT_Jashpur,12,106682,8360
CT_Jashpur,13,37290,18019
CT_Jashpur,14,2902,2748
CT_Jashpur,15,57247,12592
CT_Jashpur,16,33201,15839
CT_Kabeerdham,10,7485,2
CT_Kabeerdham,11,6523,5659
CT_Kabeerdham,12,76558,4177
CT_Kabeerdham,13,33482,11278
CT_Kabeerdham,14,10155,4855
CT_Kabeerdham,15,84413,16601
CT_Kabeerdham,16,37495,20652
CT_Kondagaon,10,5217,27
CT_Kondagaon,11,13467,3645
CT_Kondagaon,12,53521,6163
CT_Kondagaon,13,40338,9770
CT_Kondagaon,14,4709,1598
CT_Kondagaon,15,34607,3753
CT_Kondagaon,16,18324,7791
CT_Korba,10,10723,35
CT_Korba,11,22639,8757
CT_Korba,12,181831,6455
CT_Korba,13,53776,28252
CT_Korba,14,18898,7757
CT_Korba,15,83179,32380
CT_Korba,16,47025,39721
CT_Koriya,10,6338,1
CT_Koriya,11,10489,3489
CT_Koriya,12,68309,4777
CT_Koriya,13,23578,10334
CT_Koriya,14,7142,3207
CT_Koriya,15,43262,12305
CT_Koriya,16,22905,13615
CT_Mahasamund,10,9267,43
CT_Mahasamund,11,20389,8045
CT_Mahasamund,12,198561,15271
CT_Mahasamund,13,17392,36162
CT_Mahasamund,14,4172,5568
CT_Mahasamund,15,118115,40717
CT_Mahasamund,16,94308,38717
CT_Mungeli,10,3326,7
CT_Mungeli,11,9368,2576
CT_Mungeli,12,105745,2815
CT_Mungeli,13,11523,9982
CT_Mungeli,14,567,1036
CT_Mungeli,15,33324,14501
CT_Mungeli,16,30549,19136
CT_Narayanpur,10,1632,2
CT_Narayanpur,11,4354,861
CT_Narayanpur,12,10214,3495
CT_Narayanpur,13,6132,1808
CT_Narayanpur,14,569,1360
CT_Narayanpur,15,7855,2741
CT_Narayanpur,16,4061,1726
CT_Raigarh,10,16630,0
CT_Raigarh,11,25555,13146
CT_Raigarh,12,274521,16223
CT_Raigarh,13,57967,75106
CT_Raigarh,14,3188,7947
CT_Raigarh,15,334864,72161
CT_Raigarh,16,188041,86022
CT_Raipur,10,29376,27
CT_Raipur,11,36831,19820
CT_Raipur,12,270687,29320
CT_Raipur,13,39546,65186
CT_Raipur,14,15641,16494
CT_Raipur,15,417024,110044
CT_Raipur,16,347413,154097
CT_Rajnandgaon,10,15593,15
CT_Rajnandgaon,11,15340,13599
CT_Rajnandgaon,12,250378,8809
CT_Rajnandgaon,13,15213,17386
CT_Rajnandgaon,14,2995,3216
CT_Rajnandgaon,15,271943,63604
CT_Rajnandgaon,16,112932,64346
CT_Sukma,10,3629,117
CT_Sukma,11,17853,1936
CT_Sukma,12,33643,12433
CT_Sukma,13,14035,8897
CT_Sukma,14,1798,2102
CT_Sukma,15,27439,4051
CT_Sukma,16,7869,3797
CT_Surajpur,10,8444,24
CT_Surajpur,11,6070,5944
CT_Surajpur,12,105672,2619
CT_Surajpur,13,53874,13810
CT_Surajpur,14,1391,2676
CT_Surajpur,15,36754,10725
CT_Surajpur,16,17158,13373
CT_Surguja,10,8288,27
CT_Surguja,11,25877,6074
CT_Surguja,12,138388,10986
CT_Surguja,13,53184,23351
CT_Surguja,14,4409,6866
CT_Surguja,15,65582,26841
CT_Surguja,16,38422,27379
CT_Uttar Bastar Kanker,10,6743,12
CT_Uttar Bastar Kanker,11,36958,5848
CT_Uttar Bastar Kanker,12,83229,14668
CT_Uttar Bastar Kanker,13,27052,16072
CT_Uttar Bastar Kanker,14,2045,5176
CT_Uttar Bastar Kanker,15,56545,15799
CT_Uttar Bastar Kanker,16,32690,14520
DL_Central Delhi,10,20521,255
DL_Central Delhi,11,35309,14087
DL_Central Delhi,12,141033,30618
DL_Central Delhi,13,161941,60085
DL_Central Delhi,14,146036,50252
DL_Central Delhi,15,225767,67882
DL_Central Delhi,16,87946,84647
DL_East Delhi,10,10904,163
DL_East Delhi,11,21730,6618
DL_East Delhi,12,98711,15613
DL_East Delhi,13,94300,34860
DL_East Delhi,14,93753,23291
DL_East Delhi,15,207078,54121
DL_East Delhi,16,113776,104543
DL_New Delhi,10,14271,139
DL_New Delhi,11,28503,10201
DL_New Delhi,12,123642,33024
DL_New Delhi,13,117334,63342
DL_New Delhi,14,96124,56897
DL_New Delhi,15,157248,64472
DL_New Delhi,16,110934,92042
DL_North Delhi,10,9257,52
DL_North Delhi,11,22279,5375
DL_North Delhi,12,96926,18712
DL_North Delhi,13,121207,39539
DL_North Delhi,14,69831,35917
DL_North Delhi,15,249597,50936
DL_North Delhi,16,95297,76270
DL_North East Delhi,10,10495,60
DL_North East Delhi,11,25985,8011
DL_North East Delhi,12,72811,19616
DL_North East Delhi,13,78778,35062
DL_North East Delhi,14,85861,24106
DL_North East Delhi,15,190814,33044
DL_North East Delhi,16,57185,44858
DL_North West Delhi,10,24438,247
DL_North West Delhi,11,39212,15370
DL_North West Delhi,12,175716,25724
DL_North West Delhi,13,172098,71662
DL_North West Delhi,14,137141,55479
DL_North West Delhi,15,237906,88659
DL_North West Delhi,16,171734,131011
DL_Shahdara,10,11390,118
DL_Shahdara,11,15084,8127
DL_Shahdara,12,122480,23365
DL_Shahdara,13,96030,35295
DL_Shahdara,14,72547,18174
DL_Shahdara,15,147979,45627
DL_Shahdara,16,97373,89235
DL_South Delhi,10,19121,278
DL_South Delhi,11,36738,12209
DL_South Delhi,12,140075,38352
DL_South Delhi,13,126193,62259
DL_South Delhi,14,227689,51942
DL_South Delhi,15,241560,68487
DL_South Delhi,16,113652,110052
DL_South East Delhi,10,15690,201
DL_South East Delhi,11,22918,11486
DL_South East Delhi,12,134371,24775
DL_South East Delhi,13,119799,54842
DL_South East Delhi,14,169727,56670
DL_South East Delhi,15,208168,62109
DL_South East Delhi,16,116339,99032
DL_South West Delhi,10,18351,167
DL_South West Delhi,11,34577,11845
DL_South West Delhi,12,152142,24821
DL_South West Delhi,13,169720,64122
DL_South West Delhi,14,134489,37953
DL_South West Delhi,15,242610,78018
DL_South West Delhi,16,151855,149194
DL_West Delhi,10,23738,287
DL_West Delhi,11,37784,15510
DL_West Delhi,12,215072,30287
DL_West Delhi,13,152975,82162
DL_West Delhi,14,75724,44461
DL_West Delhi,15,203166,73814
DL_West Delhi,16,132447,132863
DN_Dadra and Nagar Haveli,10,2846,41
DN_Dadra and Nagar Haveli,11,4961,2082
DN_Dadra and Nagar Haveli,12,26622,3910
DN_Dadra and Nagar Haveli,13,8330,5683
DN_Dadra and Nagar Haveli,14,71916,357
DN_Dadra and Nagar Haveli,15,156328,18258
DN_Dadra and Nagar Haveli,16,78657,11174
DN_Daman,10,751,30
DN_Daman,11,2866,694
DN_Daman,12,20930,1436
DN_Daman,13,8756,5519
DN_Daman,14,67419,987
DN_Daman,15,84887,15643
DN_Daman,16,25189,10965
DN_Diu,10,463,0
DN_Diu,11,2445,395
DN_Diu,12,5975,1413
DN_Diu,13,3611,3567
DN_Diu,14,17893,301
DN_Diu,15,6224,3375
DN_Diu,16,1311,4591
GA_North Goa,10,7118,184
GA_North Goa,11,22000,5980
GA_North Goa,12,51836,12937
GA_North Goa,13,76296,25355
GA_North Goa,14,105484,4032
GA_North Goa,15,187173,47276
GA_North Goa,16,78369,62539
GA_South Goa,10,6159,125
GA_South Goa,11,20529,5420
GA_South Goa,12,59801,11036
GA_South Goa,13,89251,31494
GA_South Goa,14,121192,1960
GA_South Goa,15,207864,44474
GA_South Goa,16,79743,77097
GJ_Ahmedabad,10,71138,0
GJ_Ahmedabad,11,93850,45027
GJ_Ahmedabad,12,586051,86001
GJ_Ahmedabad,13,365381,269089
GJ_Ahmedabad,14,856848,42952
GJ_Ahmedabad,15,605222,220167
GJ_Ahmedabad,16,692452,354425
GJ_Amreli,10,16669,0
GJ_Amreli,11,32380,13449
GJ_Amreli,12,181997,13953
GJ_Amreli,13,20946,55069
GJ_Amreli,14,36228,27091
GJ_Amreli,15,102532,38864
GJ_Amreli,16,222952,73489
GJ_Anand,10,22593,1
GJ_Anand,11,48001,14420
GJ_Anand,12,254297,27524
GJ_Anand,13,74373,90680
GJ_Anand,14,106904,30028
GJ_Anand,15,179140,54081
GJ_Anand,16,256581,83818
GJ_Aravalli,10,14945,0
GJ_Aravalli,11,40509,12022
GJ_Aravalli,12,146473,18914
GJ_Aravalli,13,39147,55188
GJ_Aravalli,14,39476,30539
GJ_Aravalli,15,80472,20917
GJ_Aravalli,16,125700,43674
GJ_Banaskantha,10,35481,1
GJ_Banaskantha,11,52810,12847
GJ_Banaskantha,12,406314,42465
GJ_Banaskantha,13,135692,79659
GJ_Banaskantha,14,99858,59434
GJ_Banaskantha,15,122009,92589
GJ_Banaskantha,16,499647,202203
GJ_Bharuch,10,21862,0
GJ_Bharuch,11,21576,12736
GJ_Bharuch,12,145268,16210
GJ_Bharuch,13,68355,67256
GJ_Bharuch,14,161298,16853
GJ_Bharuch,15,202552,46169
GJ_Bharuch,16,207187,63921
GJ_Bhavnagar,10,11345,0
GJ_Bhavnagar,11,15659,7983
GJ_Bhavnagar,12,78192,9124
GJ_Bhavnagar,13,36541,44923
GJ_Bhavnagar,14,68725,6160
GJ_Bhavnagar,15,56125,26251
GJ_Bhavnagar,16,66666,38269
GJ_Botad,10,6523,0
GJ_Botad,11,6061,4665
GJ_Botad,12,38903,4152
GJ_Botad,13,11512,16555
GJ_Botad,14,32565,7063
GJ_Botad,15,85150,12336
GJ_Botad,16,118661,17190
GJ_Chhota Udaipur,10,15475,0
GJ_Chhota Udaipur,11,4319,4778
GJ_Chhota Udaipur,12,120896,7879
GJ_Chhota Udaipur,13,25569,23251
GJ_Chhota Udaipur,14,25199,41821
GJ_Chhota Udaipur,15,107144,26678
GJ_Chhota Udaipur,16,133313,49326
GJ_Dahod,10,27133,0
GJ_Dahod,11,89970,22112
GJ_Dahod,12,140843,29033
GJ_Dahod,13,81852,77254
GJ_Dahod,14,58332,50373
GJ_Dahod,15,102542,55017
GJ_Dahod,16,233137,121388
GJ_Dang,10,4101,0
GJ_Dang,11,2198,3592
GJ_Dang,12,25035,1513
GJ_Dang,13,3916,4353
GJ_Dang,14,6066,218
GJ_Dang,15,14060,3894
GJ_Dang,16,14368,4276
GJ_Devbhumi Dwarka,10,11164,0
GJ_Devbhumi Dwarka,11,14762,6710
GJ_Devbhumi Dwarka,12,67281,7941
GJ_Devbhumi Dwarka,13,26717,34181
GJ_Devbhumi Dwarka,14,46378,18223
GJ_Devbhumi Dwarka,15,102765,22985
GJ_Devbhumi Dwarka,16,138587,46927
GJ_Gandhinagar,10,3716,0
GJ_Gandhinagar,11,12676,4615
GJ_Gandhinagar,12,28675,7800
GJ_Gandhinagar,13,37237,23373
GJ_Gandhinagar,14,107458,7943
GJ_Gandhinagar,15,72966,26099
GJ_Gandhinagar,16,57902,31664
GJ_Gir Somnath,10,11747,0
GJ_Gir Somnath,11,19075,8299
GJ_Gir Somnath,12,92886,10962
GJ_Gir Somnath,13,58211,32735
GJ_Gir Somnath,14,58705,17866
GJ_Gir Somnath,15,113419,17580
GJ_Gir Somnath,16,185022,58169
GJ_Jamnagar,10,7304,0
GJ_Jamnagar,11,11430,4749
GJ_Jamnagar,12,62624,9241
GJ_Jamnagar,13,44462,32903
GJ_Jamnagar,14,113474,5294
GJ_Jamnagar,15,46073,21590
GJ_Jamnagar,16,54006,40868
GJ_Junagadh,10,3948,0
GJ_Junagadh,11,8590,2905
GJ_Junagadh,12,37710,7830
GJ_Junagadh,13,13517,17745
GJ_Junagadh,14,27397,2195
GJ_Junagadh,15,42957,18068
GJ_Junagadh,16,52644,20161
GJ_Kheda,10,25296,0
GJ_Kheda,11,32882,18731
GJ_Kheda,12,222048,18200
GJ_Kheda,13,61210,76998
GJ_Kheda,14,115984,40205
GJ_Kheda,15,183420,39920
GJ_Kheda,16,248415,73430
GJ_Kutch,10,28605,0
GJ_Kutch,11,54719,21729
GJ_Kutch,12,156351,31543
GJ_Kutch,13,67308,63477
GJ_Kutch,14,134782,14103
GJ_Kutch,15,207752,49368
GJ_Kutch,16,290167,85514
GJ_Mahisagar,10,14997,0
GJ_Mahisagar,11,22331,8998
GJ_Mahisagar,12,169314,19867
GJ_Mahisagar,13,49029,46903
GJ_Mahisagar,14,34961,32871
GJ_Mahisagar,15,88547,18216
GJ_Mahisagar,16,62411,94769
GJ_Mehsana,10,23162,0
GJ_Mehsana,11,45108,16005
GJ_Mehsana,12,237698,30165
GJ_Mehsana,13,94052,102375
GJ_Mehsana,14,182424,15480
GJ_Mehsana,15,209384,83252
GJ_Mehsana,16,178364,109608
GJ_Morbi,10,7949,0
GJ_Morbi,11,12581,4644
GJ_Morbi,12,75437,6777
GJ_Morbi,13,24003,36983
GJ_Morbi,14,48059,9879
GJ_Morbi,15,104762,17621
GJ_Morbi,16,160042,27484
GJ_Narmada,10,8977,0
GJ_Narmada,11,5963,6631
GJ_Narmada,12,88328,4622
GJ_Narmada,13,31753,25847
GJ_Narmada,14,19774,19469
GJ_Narmada,15,62725,10252
GJ_Narmada,16,75588,51265
GJ_Navsari,10,16205,0
GJ_Navsari,11,25635,15618
GJ_Navsari,12,178676,15552
GJ_Navsari,13,55279,80961
GJ_Navsari,14,65037,20672
GJ_Navsari,15,144984,35079
GJ_Navsari,16,149858,61463
GJ_Panchmahal,10,21316,1
GJ_Panchmahal,11,32495,14914
GJ_Panchmahal,12,181032,19184
GJ_Panchmahal,13,61667,81858
GJ_Panchmahal,14,63066,27195
GJ_Panchmahal,15,122038,19298
GJ_Panchmahal,16,197854,60553
GJ_Patan,10,16529,0
GJ_Patan,11,22269,12560
GJ_Patan,12,108273,10432
GJ_Patan,13,46047,45858
GJ_Patan,14,82790,14035
GJ_Patan,15,133186,36789
GJ_Patan,16,160912,63114
GJ_Porbandar,10,7699,0
GJ_Porbandar,11,26390,7167
GJ_Porbandar,12,97471,16317
GJ_Porbandar,13,17790,51636
GJ_Porbandar,14,24934,4664
GJ_Porbandar,15,64345,13431
GJ_Porbandar,16,81615,35905
GJ_Rajkot,10,15883,0
GJ_Rajkot,11,35816,12687
GJ_Rajkot,12,181035,21927
GJ_Rajkot,13,114332,92921
GJ_Rajkot,14,293877,14302
GJ_Rajkot,15,112449,82576
GJ_Rajkot,16,182854,102885
GJ_Sabarkantha,10,22097,0
GJ_Sabarkantha,11,46425,16438
GJ_Sabarkantha,12,142285,31548
GJ_Sabarkantha,13,67176,59209
GJ_Sabarkantha,14,82709,14558
GJ_Sabarkantha,15,137370,28399
GJ_Sabarkantha,16,202155,65534
GJ_Surat,10,47055,0
GJ_Surat,11,62159,31708
GJ_Surat,12,551178,28711
GJ_Surat,13,197899,206943
GJ_Surat,14,493218,46886
GJ_Surat,15,476294,221170
GJ_Surat,16,666338,247130
GJ_Surendranagar,10,14874,0
GJ_Surendranagar,11,28888,9868
GJ_Surendranagar,12,89867,8586
GJ_Surendranagar,13,25218,37066
GJ_Surendranagar,14,110370,17523
GJ_Surendranagar,15,206920,33592
GJ_Surendranagar,16,277488,27936
GJ_Tapi,10,10780,0
GJ_Tapi,11,12949,7665
GJ_Tapi,12,81592,2559
GJ_Tapi,13,27391,23267
GJ_Tapi,14,61520,6484
GJ_Tapi,15,85504,30898
GJ_Tapi,16,80821,37126
GJ_Vadodara,10,19301,0
GJ_Vadodara,11,49384,19099
GJ_Vadodara,12,227530,36798
GJ_Vadodara,13,181419,122068
GJ_Vadodara,14,384518,5798
GJ_Vadodara,15,199799,110539
GJ_Vadodara,16,184025,155970
GJ_Valsad,10,20816,0
GJ_Valsad,11,27997,16083
GJ_Valsad,12,176697,19935
GJ_Valsad,13,42804,78123
GJ_Valsad,14,92617,20992
GJ_Valsad,15,168629,48857
GJ_Valsad,16,233163,85216
HP_Bilaspur,10,3837,0
HP_Bilaspur,11,6984,3084
HP_Bilaspur,12,60118,2831
HP_Bilaspur,13,53166,29116
HP_Bilaspur,14,15845,294
HP_Bilaspur,15,87142,33400
HP_Bilaspur,16,62903,31359
HP_Chamba,10,5543,34
HP_Chamba,11,4287,4046
HP_Chamba,12,57133,3199
HP_Chamba,13,42286,15796
HP_Chamba,14,33726,1185
HP_Chamba,15,73334,25611
HP_Chamba,16,88718,32561
HP_Hamirpur,10,4839,51
HP_Hamirpur,11,6702,3866
HP_Hamirpur,12,88709,5282
HP_Hamirpur,13,61011,25247
HP_Hamirpur,14,18411,146
HP_Hamirpur,15,85536,61754
HP_Hamirpur,16,93358,38114
HP_Kangra,10,12865,0
HP_Kangra,11,15788,11674
HP_Kangra,12,168645,10373
HP_Kangra,13,174228,61875
HP_Kangra,14,99722,3187
HP_Kangra,15,285328,98242
HP_Kangra,16,305854,147167
HP_Kinnaur,10,1895,30
HP_Kinnaur,11,3094,1504
HP_Kinnaur,12,14850,874
HP_Kinnaur,13,5507,6279
HP_Kinnaur,14,6876,66
HP_Kinnaur,15,38036,10433
HP_Kinnaur,16,3807,3747
HP_Kullu,10,5009,38
HP_Kullu,11,4862,4122
HP_Kullu,12,52567,2947
HP_Kullu,13,43308,20850
HP_Kullu,14,20362,411
HP_Kullu,15,80625,28542
HP_Kullu,16,88925,30465
HP_Lahaul and Spiti,10,400,66
HP_Lahaul and Spiti,11,1548,458
HP_Lahaul and Spiti,12,4823,226
HP_Lahaul and Spiti,13,1817,2599
HP_Lahaul and Spiti,14,1870,20
HP_Lahaul and Spiti,15,9349,4188
HP_Lahaul and Spiti,16,7132,1104
HP_Mandi,10,13463,173
HP_Mandi,11,14937,11193
HP_Mandi,12,140508,8447
HP_Mandi,13,108260,52297
HP_Mandi,14,46530,1721
HP_Mandi,15,180402,77230
HP_Mandi,16,184021,82656
HP_Shimla,10,12843,0
HP_Shimla,11,14356,9366
HP_Shimla,12,100252,8792
HP_Shimla,13,95451,33926
HP_Shimla,14,50920,1781
HP_Shimla,15,148133,66447
HP_Shimla,16,139769,68863
HP_Sirmaur,10,5738,0
HP_Sirmaur,11,6901,4789
HP_Sirmaur,12,44894,4967
HP_Sirmaur,13,31146,13642
HP_Sirmaur,14,30260,734
HP_Sirmaur,15,78246,22736
HP_Sirmaur,16,130434,27488
HP_Solan,10,5575,57
HP_Solan,11,5366,4479
HP_Solan,12,57837,3537
HP_Solan,13,60791,14354
HP_Solan,14,58550,1197
HP_Solan,15,136432,42667
HP_Solan,16,239276,54546
HP_Una,10,4736,0
HP_Una,11,5986,4290
HP_Una,12,81787,3406
HP_Una,13,50607,29964
HP_Una,14,28474,1098
HP_Una,15,110589,48086
HP_Una,16,114639,40303
HR_Ambala,10,9254,101
HR_Ambala,11,17151,5954
HR_Ambala,12,158176,12666
HR_Ambala,13,80585,62945
HR_Ambala,14,111036,18481
HR_Ambala,15,152630,78879
HR_Ambala,16,120029,77704
HR_Bhiwani,10,6586,0
HR_Bhiwani,11,3683,4381
HR_Bhiwani,12,92149,4020
HR_Bhiwani,13,51899,19404
HR_Bhiwani,14,60988,3161
HR_Bhiwani,15,97631,27606
HR_Bhiwani,16,108624,44482
HR_Charkhi Dadri,10,2582,0
HR_Charkhi Dadri,11,867,1856
HR_Charkhi Dadri,12,54518,2152
HR_Charkhi Dadri,13,37530,16979
HR_Charkhi Dadri,14,49852,2534
HR_Charkhi Dadri,15,95818,23719
HR_Charkhi Dadri,16,66667,41126
HR_Faridabad,10,20136,263
HR_Faridabad,11,23362,8943
HR_Faridabad,12,194304,16326
HR_Faridabad,13,125778,56947
HR_Faridabad,14,193790,21506
HR_Faridabad,15,267533,80319
HR_Faridabad,16,214354,127039
HR_Fatehabad,10,4611,0
HR_Fatehabad,11,4663,2747
HR_Fatehabad,12,59817,3915
HR_Fatehabad,13,39637,14970
HR_Fatehabad,14,49413,1401
HR_Fatehabad,15,86344,19887
HR_Fatehabad,16,82082,39473
HR_Gurugram,10,32248,0
HR_Gurugram,11,33095,19279
HR_Gurugram,12,279575,25149
HR_Gurugram,13,140343,101194
HR_Gurugram,14,391855,30098
HR_Gurugram,15,412102,134948
HR_Gurugram,16,255371,206994
HR_Hisar,10,9252,0
HR_Hisar,11,7422,7253
HR_Hisar,12,92395,4582
HR_Hisar,13,70824,16136
HR_Hisar,14,67909,6390
HR_Hisar,15,128508,27473
HR_Hisar,16,124525,58421
HR_Jhajjar,10,5644,0
HR_Jhajjar,11,4975,2506
HR_Jhajjar,12,85051,7389
HR_Jhajjar,13,47928,24334
HR_Jhajjar,14,56900,5666
HR_Jhajjar,15,95529,22785
HR_Jhajjar,16,93784,45133
HR_Jind,10,4876,0
HR_Jind,11,2212,2486
HR_Jind,12,74877,2334
HR_Jind,13,50050,13267
HR_Jind,14,49375,2723
HR_Jind,15,76170,20295
HR_Jind,16,80833,40177
HR_Kaithal,10,5343,104
HR_Kaithal,11,3268,2628
HR_Kaithal,12,61069,3609
HR_Kaithal,13,48156,17396
HR_Kaithal,14,54838,4309
HR_Kaithal,15,82226,17454
HR_Kaithal,16,79828,36423
HR_Karnal,10,10098,85
HR_Karnal,11,12692,5970
HR_Karnal,12,119606,10629
HR_Karnal,13,94732,35437
HR_Karnal,14,78920,14643
HR_Karnal,15,123316,43657
HR_Karnal,16,108996,81884
HR_Kurukshetra,10,4875,19
HR_Kurukshetra,11,5664,2731
HR_Kurukshetra,12,83063,3824
HR_Kurukshetra,13,46294,20014
HR_Kurukshetra,14,60001,3940
HR_Kurukshetra,15,72130,26286
HR_Kurukshetra,16,75851,50066
HR_Mahendragarh,10,3888,0
HR_Mahendragarh,11,4370,2830
HR_Mahendragarh,12,84191,3478
HR_Mahendragarh,13,54575,21525
HR_Mahendragarh,14,61724,3837
HR_Mahendragarh,15,86202,26557
HR_Mahendragarh,16,65344,48271
HR_Nuh,10,3896,0
HR_Nuh,11,1393,1829
HR_Nuh,12,19530,1072
HR_Nuh,13,21563,3774
HR_Nuh,14,31286,859
HR_Nuh,15,37397,5561
HR_Nuh,16,40251,11653
HR_Palwal,10,4713,0
HR_Palwal,11,2887,2139
HR_Palwal,12,61237,1814
HR_Palwal,13,59631,14713
HR_Palwal,14,89891,5900
HR_Palwal,15,66223,23505
HR_Palwal,16,64773,25925
HR_Panchkula,10,7506,0
HR_Panchkula,11,13749,4648
HR_Panchkula,12,72502,9256
HR_Panchkula,13,40140,32815
HR_Panchkula,14,60110,4574
HR_Panchkula,15,70312,28746
HR_Panchkula,16,75179,46292
HR_Panipat,10,5830,6
HR_Panipat,11,5116,2749
HR_Panipat,12,75516,4965
HR_Panipat,13,60803,20672
HR_Panipat,14,60053,6402
HR_Panipat,15,80288,24765
HR_Panipat,16,72217,52344
HR_Rewari,10,5409,0
HR_Rewari,11,5880,3737
HR_Rewari,12,91769,5737
HR_Rewari,13,47212,27419
HR_Rewari,14,68653,2351
HR_Rewari,15,80992,31016
HR_Rewari,16,56300,56331
HR_Rohtak,10,8549,0
HR_Rohtak,11,5398,3852
HR_Rohtak,12,77045,7902
HR_Rohtak,13,55467,20188
HR_Rohtak,14,60561,8495
HR_Rohtak,15,92318,26495
HR_Rohtak,16,86053,49983
HR_Sirsa,10,5578,0
HR_Sirsa,11,17192,3506
HR_Sirsa,12,108445,13802
HR_Sirsa,13,57170,34034
HR_Sirsa,14,54973,3399
HR_Sirsa,15,95955,21701
HR_Sirsa,16,97768,46236
HR_Sonipat,10,9385,12
HR_Sonipat,11,10943,5297
HR_Sonipat,12,122945,6461
HR_Sonipat,13,90121,38947
HR_Sonipat,14,100688,17856
HR_Sonipat,15,122018,47692
HR_Sonipat,16,119667,75057
HR_Yamunanagar,10,7430,0
HR_Yamunanagar,11,8051,4954
HR_Yamunanagar,12,104738,6797
HR_Yamunanagar,13,66790,28375
HR_Yamunanagar,14,53105,6720
HR_Yamunanagar,15,104904,26469
HR_Yamunanagar,16,79675,67202
JH_Bokaro,10,14246,60
JH_Bokaro,11,17850,9880
JH_Bokaro,12,91447,11410
JH_Bokaro,13,44536,22913
JH_Bokaro,14,72372,13826
JH_Bokaro,15,112030,41766
JH_Bokaro,16,115666,44468
JH_Chatra,10,6152,116
JH_Chatra,11,5004,4074
JH_Chatra,12,60178,3358
JH_Chatra,13,12596,6060
JH_Chatra,14,31113,1586
JH_Chatra,15,42013,10901
JH_Chatra,16,108116,18694
JH_Deoghar,10,7728,78
JH_Deoghar,11,7621,4607
JH_Deoghar,12,54515,7595
JH_Deoghar,13,18985,12797
JH_Deoghar,14,99440,11851
JH_Deoghar,15,98983,17295
JH_Deoghar,16,96457,24044
JH_Dhanbad,10,20307,115
JH_Dhanbad,11,13373,14252
JH_Dhanbad,12,154490,9623
JH_Dhanbad,13,60125,35139
JH_Dhanbad,14,88020,10087
JH_Dhanbad,15,126196,57985
JH_Dhanbad,16,141998,75292
JH_Dumka,10,7048,90
JH_Dumka,11,16067,4248
JH_Dumka,12,82924,8095
