Dist code,Total,male,female
HP_Una,521173,263692,257481
HR_Ambala,1128350,598703,529647
HR_Bhiwani,1634445,866672,767773
HR_Faridabad,1809733,966110,843623
HR_Fatehabad,942011,495360,446651
HR_Gurugram,1514432,816690,697742
HR_Hisar,1743931,931562,812369
HR_Jhajjar,958405,514667,443738
HR_Jind,1334152,713006,621146
HR_Kaithal,1074304,571003,503301
HR_Karnal,1505324,797712,707612
HR_Kurukshetra,964655,510976,453679
HR_Mahendragarh,922088,486665,435423
HR_Palwal,1042708,554497,488211
HR_Panchkula,561293,299679,261614
HR_Panipat,1205437,646857,558580
HR_Rewari,900332,474335,425997
HR_Rohtak,1061204,568479,492725
HR_Sirsa,1295189,682582,612607
HR_Sonipat,1450001,781299,668702
HR_Yamunanagar,1214205,646718,567487
JH_Bokaro,2062330,1072807,989523
JH_Chatra,1042886,533935,508951
JH_Deoghar,1492073,775022,717051
JH_Dhanbad,2684487,1405956,1278531
JH_Dumka,1321442,668514,652928
JH_East Singhbhum,2293919,1176902,1117017
JH_Garhwa,1322784,683575,639209
JH_Giridih,2445474,1258098,1187376
JH_Godda,1313551,677927,635624
JH_Gumla,1025213,514390,510823
JH_Hazaribagh,1734495,890881,843614
JH_Jamtara,791042,404830,386212
JH_Khunti,531885,266335,265550
JH_Koderma,716259,367222,349037
JH_Latehar,726978,369666,357312
JH_Lohardaga,461790,232629,229161
JH_Pakur,900422,452661,447761
JH_Palamu,1939869,1006302,933567
JH_Ramgarh,949443,494230,455213
JH_Ranchi,2914253,1494937,1419316
JH_Sahibganj,1150567,589391,561176
JH_Simdega,599578,300309,299269
JH_West Singhbhum,1284304,637657,646647
JK_Anantnag,1078692,559767,518925
JK_Bandipora,392232,207680,184552
JK_Baramulla,1008039,534733,473306
JK_Budgam,753745,398041,355704
JK_Doda,409936,213641,196295
JK_Ganderbal,297446,158720,138726
JK_Jammu,1529958,813821,716137
JK_Kathua,616435,326109,290326
JK_Kishtwar,230696,120165,110531
JK_Kulgam,424483,217620,206863
JK_Kupwara,870354,474190,396164
JK_Pulwama,560440,293064,267376
JK_Punch,476835,251899,224936
JK_Rajouri,642415,345351,297064
JK_Ramban,283713,149132,134581
JK_Reasi,314667,166461,148206
JK_Samba,318898,169124,149774
JK_Shopiyan,266215,136480,129735
JK_Srinagar,1236829,651124,585705
JK_Udhampur,554985,296784,258201
KA_Bagalkote,1889752,950111,939641
KA_Ballari,2452595,1236954,1215641
KA_Bidar,1703300,870665,832635
KA_Chamarajanagara,1020791,512231,508560
KA_Chikkaballapura,1255104,636437,618667
KA_Chikkamagaluru,1137961,566622,571339
KA_Chitradurga,1659456,840843,818613
KA_Dakshina Kannada,2089649,1034714,1054935
